Metabolite	A01_NonContext	A02_NonContext	B01_NonContext	B02_NonContext	C01_NonContext	C02_NonContext	D01_NonContext	D02_NonContext	E01_NonContext	E02_NonContext	F01_NonContext	F02_NonContext	G01_NonContext	H01_NonContext	H25361_NonContext	H25362_NonContext	H25363_NonContext	H25364_NonContext	H25365_NonContext	A01_Context	A02_Context	B01_Context	B02_Context	C01_Context	C02_Context	D01_Context	D02_Context	E01_Context	E02_Context	F01_Context	F02_Context	G01_Context	H01_Context	H25361_Context	H25362_Context	H25363_Context	H25364_Context	H25365_Context
Anaeroglobus_geminatus_F0357_3odcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3oddcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3oddecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3odecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3ohcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3ohdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3ohexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3omrsACP[c]	0	0.002234905	0.004666466	0	0	0	0	0.008891237	0	0.00671151	0	0	0.76944221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769438828	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3oocoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3ooctACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3ooctdACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3opalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3otdcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3pg[c]	0	-2.594044423	-0.642353588	0	0	0	0	-14.51135465	0	-2.943394537	0	0	-1537.316357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-878.3454596	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3php[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_3psme[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4abz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4ahmmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4ampm[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4c2me[c]	0	0.003071213	0.006412673	0	0	0	0	0.012218367	0	0.009222979	0	0	1.057370034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.057365387	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4gubut[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4gudbd[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4h2oglt[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4hba[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4hthr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4m3hhexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4m3hpentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4m3ohexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4m3opentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mhetz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mhexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mop[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mpentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mpetz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4mthex2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4pasp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4per[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4ppan[c]	0	6.91E-05	0.00014435	0	0	0	0	0.000275037	0	0.00020761	0	0	0.0238015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023801396	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4ppcys[c]	0	6.91E-05	0.00014435	0	0	0	0	0.000275037	0	0.00020761	0	0	0.0238015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023801396	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_4r5au[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5aizc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5aprbu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5apru[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5aptn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5drib[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5forthf[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5fthf[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5m3hhexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5m3ohexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mdr1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mdru1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mhexACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mta[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mthex2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5mthf[c]	0	0.005564285	0.011618191	0	0	0	0	0.022136683	0	0.016709775	0	0	1.915695071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.915686652	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5odhf2a[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_5prdmbz[c]	0	3.46E-05	7.22E-05	0	0	0	0	0.000137518	0	0.000103805	0	0	0.01190075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011900698	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6m3hheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6m3hocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6m3oheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6m3oocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6mheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6mocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_6mtoct2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7a_czp[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.14E-13	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7a_czp[p]	0	-2.965326227	9.323422463	0	0	0	0	-7.599240578	0	13.40934164	0	0	1537.316357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384.66915	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7a_czp[u]	0	-2.965326227	9.323422463	0	0	0	0	-7.599240578	0	13.40934164	0	0	1537.316357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384.66915	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7m3hocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7m3oocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7mocACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_7mtoct2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8m3hdcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8m3hnonACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8m3odcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8m3ononACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8mdcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8mnonACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_8mtdec2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_9m3hdcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_9m3odcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_9mdcaACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_9mtdec2eACP[c]	0	0.000950921	0.001985516	0	0	0	0	0.003783097	0	0.002855653	0	0	0.327386891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327385453	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_aa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_aacoa[c]	0	-1.876584024	0.040357267	0	0	0	0	7.221313183	0	8.136180977	0	0	892.7491512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.1957611	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_abt[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ac[c]	0	-1.863564764	-0.503422182	0	0	0	0	17.76879965	0	13.41269739	0	0	1537.701078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959.5595279	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ac[p]	0	-1.864682217	-0.505755415	0	0	0	0	17.76435403	0	13.40934164	0	0	1537.316357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959.1748085	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ac[u]	0	-1.864682217	-0.505755415	0	0	0	0	17.76435403	0	13.40934164	0	0	1537.316357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959.1748085	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acac[c]	0	0	0	0	0	0	0	0	0	0	0	0	-1.14E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acac[p]	0	4.465254685	-0.040357267	0	0	0	0	-7.221313183	0	-8.136180977	0	0	-892.7491512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-274.1957611	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acac[u]	0	4.465254685	-0.040357267	0	0	0	0	-7.221313183	0	-8.136180977	0	0	-892.7491512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-274.1957611	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acald[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acbdma14gapuc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_accoa[c]	0	-0.938292012	0.020178634	0	0	0	0	3.610656592	0	4.068090489	0	0	986.7054972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0978806	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acg5p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acg5sa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acgam[p]	0	0.001675855	0.003499174	0	0	0	0	0.00666714	0	0.00503266	0	0	0.576970202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576967666	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acgam[u]	0	0.001675855	0.003499174	0	0	0	0	0.00666714	0	0.00503266	0	0	0.576970202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576967666	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acgam1p[c]	0	0.001675855	0.003499174	0	0	0	0	0.00666714	0	0.00503266	0	0	0.576970202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576967666	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acgam6p[c]	0	0.001675855	0.003499174	0	0	0	0	0.00666714	0	0.00503266	0	0	0.576970202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576967666	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acglu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_achms[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acmana[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ACP[c]	0	0.022097566	0.046139572	0	0	0	0	0.087911891	0	0.06635989	0	0	7.607841402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.607807966	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acryl[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_acser[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_actACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_actn_R[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_actp[c]	0	0	0	0	0	0	0	0	0	0	0	0	-1.14E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ad[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adcobdam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adcobhex[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_ade[c]	0	0.008679283	0.018122286	0	0	0	0	0.034529241	0	0.02606424	0	0	2.988139452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98812632	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adhlam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adn[c]	0	0.008679283	0.018122286	0	0	0	0	0.034529241	0	0.02606424	0	0	2.988139452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98812632	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adn[p]	0	0.001619637	0.003381792	0	0	0	0	0.006443486	0	0.004863836	0	0	0.557615389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557612938	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adn[u]	0	0.001619637	0.003381792	0	0	0	0	0.006443486	0	0.004863836	0	0	0.557615389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557612938	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adocbi[c]	0	3.46E-05	7.22E-05	0	0	0	0	0.000137518	0	0.000103805	0	0	0.01190075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011900698	0	0	0	0	0	0
Anaeroglobus_geminatus_F0357_adocbip[c]	0	3.46E-05	7.22E-05	0	0	0	0	0.000137518	0	0.000103805	0	0	0.01190075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011900698	0	0	0	0	0	0
