OTU	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Zotu645	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	58	0	36	7
Zotu646	0	7	3	0	1	2	0	0	6	0	8	5	0	1	59	13	0	0	35
Zotu65	57	2456	515	0	0	1160	23	3165	1120	1386	2473	3092	9	239	1648	582	3	1055	242
Zotu651	1	2	0	0	0	3	0	8	1	2	1	3	0	0	4	0	0	1	0
Zotu652	164	0	2	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu655	2	0	0	5	1	0	4	7	0	1	0	0	339	0	0	0	0	0	0
Zotu656	0	0	0	116	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Zotu66	74	1736	1346	0	14	1670	14	1742	1362	911	1999	2535	4	851	16670	4640	28	2390	9100
Zotu661	1	41	33	0	0	49	1	16	118	114	31	52	0	93	702	678	48	251	10417
Zotu664	33	0	0	5	0	0	73	3	2	0	0	2	16	10	0	1	1	0	0
Zotu666	42	466	165	0	1	243	2	460	278	262	442	436	7	76	2301	845	8	2205	739
Zotu669	15	50	22	0	0	124	1	195	43	20	37	59	0	9	352	413	13	163	147
Zotu670	77	0	0	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0
Zotu672	0	0	1	67	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0
Zotu675	176	0	5	18	0	0	3	1	0	0	0	0	949	0	1	0	0	0	0
Zotu676	0	0	0	0	0	0	0	3	0	0	0	0	167	0	0	0	0	0	0
Zotu68	16453	262	849	1301	200	130	10711	1408	320	15	119	153	4631	1428	351	19436	84439	30261	16767
Zotu681	193	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu682	135	0	1	4	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Zotu685	69	0	2	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Zotu686	32	1	4	2	1	1	25	2	0	1	1	0	26	2	1	340	1262	130	120
Zotu690	9	0	0	3	0	1	33	0	0	0	0	0	3	2	1	33	141	15	48
Zotu691	58	2	3	8	3	1	32	1	3	0	0	0	23	8	0	27	100	11	12
Zotu692	0	0	3	0	0	0	0	3	0	1	1	0	0	0	28	30	0	53	0
Zotu698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3276	744	9	497	577
Zotu70	9111	100	613	695	128	67	7301	541	223	5	55	60	5652	940	165	15027	44210	15359	11348
Zotu704	1	21	1	0	0	8	0	18	9	3	5	14	0	5	218	130	3	58	164
Zotu705	19	0	1	2	0	0	11	0	0	0	0	0	9	1	0	9	207	4	21
Zotu707	0	0	2	0	1	0	0	6	0	3	0	0	813	0	0	0	0	0	0
Zotu708	3	147	71	0	1	660	8	268	265	131	154	217	0	82	378	1929	5	2398	146
Zotu709	1	0	0	1	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0
Zotu71	61	828	636	2	21	4302	62	5240	2687	610	2343	2391	57	554	12299	15207	232	1946	2282
Zotu710	0	0	161	0	3	2	0	301	0	0	155	0	0	73	6464	90	1	1086	0
Zotu711	125	1	10	20	3	1	79	3	6	0	2	0	20	21	12	409	2295	150	781
Zotu716	0	0	1	0	4	0	0	26	0	14	0	0	61	0	0	0	0	0	0
Zotu717	0	0	0	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu718	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0
Zotu719	0	12	26	0	0	86	0	14	18	8	16	33	0	8	150	1	0	0	10
Zotu72	256	2565	2892	3	62	5000	79	2603	4770	859	3436	2284	40	944	19872	23512	209	8271	1107
Zotu720	86	0	0	25	0	0	0	3	0	3	0	0	102	0	0	0	0	0	0
Zotu721	0	9	3	0	0	6	0	8	12	3	22	10	0	3	19	12	0	8	15
Zotu724	232	0	10	8	4	2	140	4	5	0	0	0	14	12	1	33	368	11	29
Zotu725	0	0	1	0	0	0	0	2	0	0	0	0	115	0	0	0	0	0	0
Zotu728	133	5	6	28	5	3	127	18	12	0	1	0	83	17	1	140	111	8	194
Zotu731	0	19	58	0	1	26	0	215	13	1770	45	3894	0	47	893	372	6	114	1524
Zotu736	0	36	12	0	0	18	1	25	20	13	41	24	0	14	63	51	0	66	21
Zotu737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	118	1	14
Zotu738	0	0	1	0	0	0	0	2	1	0	0	0	0	1	3	2	2	1	2
Zotu739	0	4	3	0	0	0	0	4	1	0	2	3	0	1	21	13	0	6	17
Zotu74	6318	98	902	1298	78	125	9733	284	227	4	46	124	1273	1772	302	6306	42291	7235	11325
Zotu740	0	3	0	0	0	0	0	1	0	2	2	2	0	0	15	13	0	9	18
Zotu741	0	13	3	0	0	8	0	12	17	6	17	12	0	9	60	20	0	10	24
Zotu743	10	184	91	0	0	180	2	283	99	90	137	234	1	46	4192	595	9	318	752
Zotu75	0	0	0	0	0	0	0	11	0	0	0	0	908	0	0	0	0	0	0
Zotu750	2916	33	181	496	21	26	2252	276	78	5	26	38	1404	437	151	2325	9882	6646	4296
Zotu751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	9	0	3	11
Zotu755	1	89	28	0	0	44	1	54	104	55	92	130	0	17	132	17	0	7	31
Zotu760	0	6	2	0	0	2	0	6	9	1	8	4	0	1	108	28	0	22	26
Zotu766	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu77	2383	45	310	519	27	52	3054	60	66	6	23	55	612	576	341	7714	56343	18583	11385
Zotu772	1422	12	60	195	5	15	2135	80	72	1	7	17	296	327	25	300	656	163	573
Zotu775	301	0	0	48	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0
Zotu778	0	2	17	126	11	0	40	116	1	3	0	0	5354	0	1	0	0	0	0
Zotu78	4406	106	267	797	75	83	3951	141	113	6	34	80	1380	853	165	8048	44930	4002	18976
Zotu780	316	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Zotu781	0	5	5	0	0	8	0	7	17	9	12	14	0	3	11	3	0	2	6
Zotu782	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	0	0
Zotu783	0	1	0	9	0	0	0	0	0	1	0	0	78	0	0	0	0	0	0
Zotu79	153	5496	2371	2	50	3521	65	13994	3454	2498	8900	1097	59	1045	69371	16691	134	17491	3252
Zotu791	0	13	7	0	0	10	0	14	12	12	12	14	0	3	29	5	0	14	6
Zotu792	75	1	4	7	0	1	63	5	2	0	0	0	23	7	7	160	1278	197	387
Zotu796	1	1	3	0	0	0	0	0	2	0	11	0	0	4	3901	153	1	1431	77
Zotu797	0	1	2	0	0	0	0	10	0	0	4	1	0	0	61	14	0	26	24
Zotu799	40	0	1	2	0	0	19	1	1	0	0	1	7	1	4	44	393	83	97
Zotu80	147	3668	402	1	6	3148	56	3977	4971	2323	1167	4377	38	865	1370	31897	254	13702	48950
Zotu801	14788	193	758	1326	106	110	7540	637	230	4	48	82	6666	1605	193	10374	36811	10378	12514
Zotu803	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	1	0	0	1
Zotu805	53	1117	651	0	11	624	16	1521	485	395	933	1271	4	189	16543	9789	643	5290	5758
Zotu809	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	13	1	22	1
Zotu81	0	1290	0	0	0	203	0	1	0	0	0	0	5	0	7	6110	40	2862	48981
Zotu812	50	2	1	13	0	3	68	11	2	0	2	1	24	15	0	16	73	23	12
Zotu813	755	10110	6636	10	93	16783	454	9377	13641	7112	16569	20582	335	2171	107444	105666	1171	94675	103707
Zotu816	8	97	163	0	2	120	1	67	109	46	104	136	1	63	704	487	4	160	1230
Zotu817	1	30	26	0	1	14	0	50	19	11	20	39	0	10	1870	120	0	57	147
Zotu819	1	25	15	0	0	11	0	30	19	9	36	30	1	7	227	209	0	156	149
Zotu820	4	51	18	0	1	20	0	36	58	12	49	46	0	19	812	229	2	6105	179
Zotu821	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	4	0
Zotu824	0	6	3	0	0	0	0	1	5	1	4	0	0	1	97	22	1	29	29
Zotu828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	8	0
Zotu84	10407	72	229	581	28	97	7976	456	129	2	19	73	1726	888	192	11677	20858	12782	2882
Zotu87	6050	139	262	1113	100	98	6400	381	158	4	76	134	4123	1121	142	7762	43959	15642	19616
Zotu88	76	424	264	0	1	259	7	3908	602	284	3776	479	2	269	84551	1841	67	6987	572
Zotu89	89	3899	1216	0	18	1637	19	1436	1468	1804	2291	4443	4	327	45770	5065	36	4350	7051
Zotu9	445	15635	4540	2	57	6602	123	15793	9678	6674	14825	14520	109	2567	226170	135961	1854	75859	123225
Zotu90	60	2376	1442	0	4	1085	25	3473	1753	777	3741	3535	53	772	5116	2816	13	2815	1951
Zotu91	87	4	4195	3	37	0	1	15966	1	4671	2170	3	0	498	71742	723	14	2866	1
Zotu92	58	2050	699	0	10	886	41	1434	1767	458	1997	2645	27	454	9792	3594	39	1003	23310
Zotu95	8	436	0	0	0	200	14	620	637	293	635	897	2	168	6458	1831	20	1511	2599
Zotu99	133	2894	1145	0	5	1762	42	3250	2046	642	3290	6589	16	604	28055	25512	120	24805	41409
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
